szPrecinctName,Accepted,Wrong Precinct,Wrong Ballot Type,Accepted No Ballot,Total Counted,,CH-PO/MA,Printed Signature,Can Not Identify,Challenged No ballot,CH-VBM Ballot Returned,Not Registered,No Signature,Not Eligible,Signature Miscompares,No address provided,Voted a precinct ballot,Cancellation,NO-COVR Signature,Total Not Counted,,Total
Pct 1106   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 1116   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 1123   ,2,2,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 1131   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 1148   ,2,2,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7004   ,1,2,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7006   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7011   ,0,4,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7033   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7053   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7202   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7311   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7325   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7332   ,2,2,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7333   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7517   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7534   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7637   ,1,2,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7641   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
