PRECINCT,LATE,MISC,NO OATH,NOSIG,POA,PRINTED SIG,SM,SP,WS,Total
7915,2,0,0,1,0,0,1,0,0,4
7916,2,0,0,0,0,0,0,0,0,2
7917,2,0,0,0,0,0,0,0,0,2
7918,1,0,0,0,0,0,1,0,0,2
7919,2,0,0,2,0,0,2,0,0,6
7921,1,0,0,0,0,0,0,0,0,1
7922,3,0,0,0,0,0,0,0,0,3
7923,2,0,0,0,0,0,0,0,0,2
7924,1,0,0,0,0,0,2,0,0,3
7925,0,0,0,0,0,0,1,0,0,1
7926,3,0,0,0,0,0,2,1,0,6
7927,2,0,0,0,0,0,1,0,0,3
7928,2,0,0,0,0,0,1,0,0,3
7932,4,0,0,0,0,0,0,0,0,4
7934,4,1,0,0,0,0,0,0,0,5
7935,1,0,0,1,0,0,0,0,0,2
7936,2,0,0,1,0,0,0,0,0,3
7937,3,0,0,1,0,0,2,0,0,6
7938,1,0,0,0,0,0,0,1,0,2
7939,1,0,0,1,0,0,0,2,0,4
7941,2,0,0,1,0,0,0,0,0,3
7942,1,0,0,2,0,0,2,0,0,5
7943,3,0,0,0,0,0,0,1,0,4
7944,2,0,0,1,0,0,0,0,0,3
7945,3,0,0,0,0,0,1,0,0,4
7947,2,0,0,2,0,1,0,0,0,5
7948,3,0,0,0,0,0,1,0,0,4
7951,3,0,0,1,0,0,1,0,0,5
7953,4,0,0,1,0,0,1,0,0,6
7955,5,0,0,0,0,0,0,0,0,5
7956,1,0,0,0,0,0,0,0,0,1
7957,1,0,0,0,0,0,0,0,0,1
7958,0,0,0,2,0,0,0,1,0,3
9001,3,0,0,0,0,0,0,0,0,3
9101,4,0,0,2,0,0,1,0,0,7
9102,0,0,0,0,0,0,0,1,0,1
9104,2,0,0,1,0,0,1,0,0,4
9105,1,0,0,0,0,0,0,0,0,1
9106,0,0,0,0,0,0,1,0,0,1
9107,4,0,0,0,0,0,1,0,0,5
9108,3,0,0,0,0,1,0,0,0,4
9109,0,0,0,1,0,0,0,0,0,1
9111,3,0,0,1,0,0,0,0,0,4
9112,3,0,0,0,0,0,0,0,0,3
9113,1,0,0,2,0,0,0,0,0,3
9114,2,0,0,0,0,0,1,1,0,4
9115,4,0,0,0,0,0,0,0,0,4
9117,1,0,0,0,0,0,1,0,0,2
9118,1,0,0,0,0,0,1,0,0,2
9119,5,0,0,1,0,0,1,0,0,7
9121,4,0,0,0,0,0,1,1,0,6
9122,2,0,0,1,0,1,0,0,0,4
9123,2,0,0,0,0,0,2,0,0,4
9124,2,0,0,0,0,0,1,0,1,4
9125,1,0,0,1,0,0,0,0,0,2
9126,1,0,0,0,0,0,1,2,0,4
9127,2,0,0,0,0,0,3,0,0,5
9128,2,0,0,1,0,0,0,0,0,3
9129,1,0,0,0,0,0,0,0,0,1
9131,1,0,0,1,0,0,0,1,0,3
9132,0,0,0,1,0,0,0,0,0,1
9133,2,0,0,0,0,0,0,0,0,2
9134,3,0,0,1,0,0,0,0,0,4
9135,5,0,0,0,1,0,0,0,0,6
9136,4,0,0,1,0,0,1,0,1,7
9137,0,0,0,0,0,0,1,0,0,1
9138,4,0,0,1,0,0,1,0,0,6
9139,1,0,0,0,0,0,0,0,0,1
9141,5,0,0,1,0,0,0,0,0,6
9142,2,0,0,0,0,0,1,0,0,3
9143,4,0,0,0,0,0,2,0,0,6
9144,0,0,0,1,0,0,0,0,0,1
9145,2,0,0,0,0,0,1,0,0,3
9146,2,0,0,0,0,0,0,0,0,2
9147,2,0,0,0,0,0,1,0,0,3
9149,3,0,0,0,0,0,0,0,0,3
9152,5,0,0,0,0,0,0,0,0,5
9201,0,0,0,1,0,0,0,0,0,1
